Year,UNIT_MEASURE,Oпштина,HH_agri,Value
2013,Број,Бихаћ,agri_activity_sale,444
2013,Број,Босанска Крупа,agri_activity_sale,484
2013,Број,Босански Петровац,agri_activity_sale,229
2013,Број,Босанско Грахово,agri_activity_sale,61
2013,Број,Бреза,agri_activity_sale,247
2013,Број,Бугојно,agri_activity_sale,649
2013,Број,Бусовача,agri_activity_sale,253
2013,Број,Бужим,agri_activity_sale,582
2013,Број,Цазин,agri_activity_sale,1105
2013,Број,centar_sarajevo,agri_activity_sale,73
2013,Број,Чапљина,agri_activity_sale,1457
2013,Број,Челић,agri_activity_sale,557
2013,Број,Читлук,agri_activity_sale,144
2013,Број,doboj-istok,agri_activity_sale,261
2013,Број,doboj-jug,agri_activity_sale,30
2013,Број,Добретићи,agri_activity_sale,10
2013,Број,domaljevac-samac,agri_activity_sale,94
2013,Број,Доњи Вакуф,agri_activity_sale,381
2013,Број,Дрвар,agri_activity_sale,75
2013,Број,foca-fbih,agri_activity_sale,82
2013,Број,Фојница,agri_activity_sale,268
2013,Број,Гламоч,agri_activity_sale,339
2013,Број,Горажде,agri_activity_sale,357
2013,Број,gornji_vakuf-uskoplje,agri_activity_sale,534
2013,Број,Грачаница,agri_activity_sale,829
2013,Број,Градачац,agri_activity_sale,1404
2013,Број,Груде,agri_activity_sale,143
2013,Број,hadzici,agri_activity_sale,253
2013,Број,ilidza,agri_activity_sale,202
2013,Број,ilijas,agri_activity_sale,204
2013,Број,Јабланица,agri_activity_sale,117
2013,Број,Јајце,agri_activity_sale,351
2013,Број,Какањ,agri_activity_sale,486
2013,Број,Калесија,agri_activity_sale,584
2013,Број,Кисељак,agri_activity_sale,314
2013,Број,Кладањ,agri_activity_sale,143
2013,Број,Кључ,agri_activity_sale,281
2013,Број,Коњиц,agri_activity_sale,572
2013,Број,Крешево,agri_activity_sale,65
2013,Број,kupres-fbih,agri_activity_sale,123
2013,Број,Ливно,agri_activity_sale,466
2013,Број,Лукавац,agri_activity_sale,331
2013,Број,Љубушки,agri_activity_sale,766
2013,Број,Маглај,agri_activity_sale,216
2013,Број,Мостар,agri_activity_sale,635
2013,Број,Неум,agri_activity_sale,15
2013,Број,novi_grad_sarajevo,agri_activity_sale,164
2013,Број,Нови Травник,agri_activity_sale,679
2013,Број,novo_sarajevo,agri_activity_sale,58
2013,Број,Оџак,agri_activity_sale,238
2013,Број,Олово,agri_activity_sale,98
2013,Број,Орашје,agri_activity_sale,502
2013,Број,pale-fbih,agri_activity_sale,23
2013,Број,Посушје,agri_activity_sale,106
2013,Број,Прозор,agri_activity_sale,208
2013,Број,Равно,agri_activity_sale,74
2013,Број,Сански Мост,agri_activity_sale,481
2013,Број,Сапна,agri_activity_sale,177
2013,Број,Сребреник,agri_activity_sale,496
2013,Број,stari_grad_sarajevo,agri_activity_sale,51
2013,Број,Столац,agri_activity_sale,586
2013,Број,Широки Бријег,agri_activity_sale,146
2013,Број,Теочак,agri_activity_sale,54
2013,Број,Тешањ,agri_activity_sale,874
2013,Број,Томиславград,agri_activity_sale,356
2013,Број,Травник,agri_activity_sale,1204
2013,Број,trnovo-fbih,agri_activity_sale,80
2013,Број,Тузла,agri_activity_sale,393
2013,Број,Усора,agri_activity_sale,46
2013,Број,Вареш,agri_activity_sale,146
2013,Број,Велика Кладуша,agri_activity_sale,941
2013,Број,Високо,agri_activity_sale,928
2013,Број,Витез,agri_activity_sale,281
2013,Број,vogosca,agri_activity_sale,156
2013,Број,Завидовићи,agri_activity_sale,296
2013,Број,Зеница,agri_activity_sale,1231
2013,Број,Жепче,agri_activity_sale,787
2013,Број,Живинице,agri_activity_sale,767
