Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2018,Broj,Hercegovačko-neretvanska županija,Ž,
2019,Broj,Hercegovačko-neretvanska županija,Ž,
2010,Broj,Sarajevska županija,Oba spola,5667.0
2011,Broj,Sarajevska županija,Oba spola,5583.0
2012,Broj,Sarajevska županija,Oba spola,5515.0
2013,Broj,Sarajevska županija,Oba spola,5684.0
2014,Broj,Sarajevska županija,Oba spola,6109.0
2015,Broj,Sarajevska županija,Oba spola,5333.0
2016,Broj,Sarajevska županija,Oba spola,5207.0
2017,Broj,Sarajevska županija,Oba spola,5649.0
2018,Broj,Sarajevska županija,Oba spola,5116.0
2019,Broj,Sarajevska županija,Oba spola,5285.0
2010,Broj,Sarajevska županija,M,
2011,Broj,Sarajevska županija,M,
2012,Broj,Sarajevska županija,M,
2013,Broj,Sarajevska županija,M,
2014,Broj,Sarajevska županija,M,
2015,Broj,Sarajevska županija,M,
2016,Broj,Sarajevska županija,M,
2017,Broj,Sarajevska županija,M,
2018,Broj,Sarajevska županija,M,
2019,Broj,Sarajevska županija,M,
2010,Broj,Sarajevska županija,Ž,
2011,Broj,Sarajevska županija,Ž,
2012,Broj,Sarajevska županija,Ž,
2013,Broj,Sarajevska županija,Ž,
2014,Broj,Sarajevska županija,Ž,
2015,Broj,Sarajevska županija,Ž,
2016,Broj,Sarajevska županija,Ž,
2017,Broj,Sarajevska županija,Ž,
2018,Broj,Sarajevska županija,Ž,
2019,Broj,Sarajevska županija,Ž,
