Year,Type_of_disability,Пол,Старосна доб,UNIT_MEASURE,Value
2013,Communication,Оба пола,60-64,Број,586
2013,multiple_disabilities,Оба пола,60-64,Број,66443
2013,Seeing,Оба пола,65+,Број,20636
2013,Hearing,Оба пола,65+,Број,12505
2013,walking_or_climbing_up_the_stairs,Оба пола,65+,Број,44406
2013,remembering_or_concentration,Оба пола,65+,Број,2836
2013,self_care,Оба пола,65+,Број,587
2013,Communication,Оба пола,65+,Број,586
2013,multiple_disabilities,Оба пола,65+,Број,66443
2013,Seeing,_M,0-14,Број,571
2013,Hearing,_M,0-14,Број,146
2013,walking_or_climbing_up_the_stairs,_M,0-14,Број,370
2013,remembering_or_concentration,_M,0-14,Број,123
2013,self_care,_M,0-14,Број,104
2013,Communication,_M,0-14,Број,215
2013,multiple_disabilities,_M,0-14,Број,1077
2013,Seeing,_M,15-19,Број,430
2013,Hearing,_M,15-19,Број,101
2013,walking_or_climbing_up_the_stairs,_M,15-19,Број,268
2013,remembering_or_concentration,_M,15-19,Број,95
2013,self_care,_M,15-19,Број,19
2013,Communication,_M,15-19,Број,75
2013,multiple_disabilities,_M,15-19,Број,653
2013,Seeing,_M,20-29,Број,976
2013,Hearing,_M,20-29,Број,223
2013,walking_or_climbing_up_the_stairs,_M,20-29,Број,883
2013,remembering_or_concentration,_M,20-29,Број,256
2013,self_care,_M,20-29,Број,44
2013,Communication,_M,20-29,Број,133
2013,multiple_disabilities,_M,20-29,Број,1306
2013,Seeing,_M,30-49,Број,4313
2013,Hearing,_M,30-49,Број,1722
2013,walking_or_climbing_up_the_stairs,_M,30-49,Број,10912
2013,remembering_or_concentration,_M,30-49,Број,1488
2013,self_care,_M,30-49,Број,216
2013,Communication,_M,30-49,Број,442
2013,multiple_disabilities,_M,30-49,Број,6669
2013,Seeing,_M,50-59,Број,6088
2013,Hearing,_M,50-59,Број,2282
2013,walking_or_climbing_up_the_stairs,_M,50-59,Број,11557
2013,remembering_or_concentration,_M,50-59,Број,1170
2013,self_care,_M,50-59,Број,179
2013,Communication,_M,50-59,Број,338
2013,multiple_disabilities,_M,50-59,Број,9039
2013,Seeing,_M,60-64,Број,3155
2013,Hearing,_M,60-64,Број,1432
2013,walking_or_climbing_up_the_stairs,_M,60-64,Број,5672
2013,remembering_or_concentration,_M,60-64,Број,440
2013,self_care,_M,60-64,Број,57
2013,Communication,_M,60-64,Број,198
2013,multiple_disabilities,_M,60-64,Број,5203
2013,Seeing,_M,65+,Број,8036
2013,Hearing,_M,65+,Број,6620
2013,walking_or_climbing_up_the_stairs,_M,65+,Број,13529
2013,remembering_or_concentration,_M,65+,Број,1092
2013,self_care,_M,65+,Број,266
2013,Communication,_M,65+,Број,360
2013,multiple_disabilities,_M,65+,Број,22432
2013,Seeing,_F,0-14,Број,513
2013,Hearing,_F,0-14,Број,116
2013,walking_or_climbing_up_the_stairs,_F,0-14,Број,301
2013,remembering_or_concentration,_F,0-14,Број,77
2013,self_care,_F,0-14,Број,60
2013,Communication,_F,0-14,Број,103
2013,multiple_disabilities,_F,0-14,Број,749
2013,Seeing,_F,15-19,Број,432
2013,Hearing,_F,15-19,Број,90
2013,walking_or_climbing_up_the_stairs,_F,15-19,Број,210
2013,remembering_or_concentration,_F,15-19,Број,34
2013,self_care,_F,15-19,Број,13
2013,Communication,_F,15-19,Број,37
2013,multiple_disabilities,_F,15-19,Број,429
2013,Seeing,_F,20-29,Број,843
2013,Hearing,_F,20-29,Број,147
2013,walking_or_climbing_up_the_stairs,_F,20-29,Број,467
2013,remembering_or_concentration,_F,20-29,Број,124
2013,self_care,_F,20-29,Број,28
2013,Communication,_F,20-29,Број,75
2013,multiple_disabilities,_F,20-29,Број,893
2013,Seeing,_F,30-49,Број,3528
2013,Hearing,_F,30-49,Број,738
2013,walking_or_climbing_up_the_stairs,_F,30-49,Број,4950
2013,remembering_or_concentration,_F,30-49,Број,849
2013,self_care,_F,30-49,Број,103
2013,Communication,_F,30-49,Број,241
2013,multiple_disabilities,_F,30-49,Број,4025
2013,Seeing,_F,50-59,Број,6782
2013,Hearing,_F,50-59,Број,1216
2013,walking_or_climbing_up_the_stairs,_F,50-59,Број,9927
2013,remembering_or_concentration,_F,50-59,Број,865
2013,self_care,_F,50-59,Број,80
2013,Communication,_F,50-59,Број,150
2013,multiple_disabilities,_F,50-59,Број,7822
2013,Seeing,_F,60-64,Број,4034
2013,Hearing,_F,60-64,Број,857
2013,walking_or_climbing_up_the_stairs,_F,60-64,Број,7055
2013,remembering_or_concentration,_F,60-64,Број,430
2013,self_care,_F,60-64,Број,43
2013,Communication,_F,60-64,Број,61
2013,multiple_disabilities,_F,60-64,Број,5922
2013,Seeing,_F,65+,Број,12600
2013,Hearing,_F,65+,Број,5885
2013,walking_or_climbing_up_the_stairs,_F,65+,Број,30877
2013,remembering_or_concentration,_F,65+,Број,1744
2013,self_care,_F,65+,Број,321
2013,Communication,_F,65+,Број,226
2013,multiple_disabilities,_F,65+,Број,44011
